Time,Force,EMG,
59.055,2.468129,0.05332207,
59.056,2.498654,0.05331672,
59.057,2.559704,0.05331224,
59.058,2.620754,0.05330832,
59.059,2.651279,0.05330517,
59.06,2.681804,0.0533025,
59.061,2.742854,0.05330049,
59.062,2.773379,0.05329906,
59.063,2.834429,0.05329792,
59.064,2.834429,0.05329801,
59.065,2.864954,0.05329868,
59.066,2.864954,0.05330002,
59.067,2.864954,0.05330174,
59.068,2.864954,0.05330403,
59.069,2.864954,0.0533066,
59.07,2.834429,0.05330956,
59.071,2.834429,0.05331281,
59.072,2.834429,0.05331606,
59.073,2.864954,0.05331988,
59.074,2.864954,0.05332398,
59.075,2.864954,0.05332818,
59.076,2.895479,0.05333238,
59.077,2.895479,0.05333658,
59.078,2.895479,0.05334069,
59.079,2.895479,0.0533446,
59.08,2.895479,0.05334823,
59.081,2.895479,0.05335129,
59.082,2.895479,0.05335434,
59.083,2.895479,0.05335711,
59.084,2.895479,0.0533595,
59.085,2.895479,0.0533615,
59.086,2.926004,0.05336313,
59.087,2.926004,0.05336437,
59.088,2.926004,0.05336494,
59.089,2.926004,0.05336504,
59.09,2.926004,0.05336408,
59.091,2.956529,0.05336294,
59.092,2.987054,0.05336122,
59.093,2.987054,0.05335893,
59.094,2.987054,0.05335616,
59.095,2.987054,0.05335282,
59.096,2.987054,0.0533489,
59.097,3.017579,0.05334422,
59.098,3.017579,0.05333878,
59.099,2.987054,0.053332,
59.1,2.987054,0.05332484,
59.101,3.017579,0.05331701,
59.102,3.048104,0.05330832,
59.103,3.048104,0.05329897,
59.104,3.048104,0.05328885,
59.105,3.048104,0.05327777,
59.106,3.048104,0.05326584,
59.107,3.048104,0.05325276,
59.108,3.048104,0.05323786,
59.109,3.048104,0.05322249,
59.11,3.048104,0.05320607,
59.111,3.048104,0.05318879,
59.112,3.048104,0.05317055,
59.113,3.078629,0.05315146,
59.114,3.078629,0.05313131,
59.115,3.078629,0.05311011,
59.116,3.109154,0.05308777,
59.117,3.109154,0.05306333,
59.118,3.109154,0.05303879,
59.119,3.109154,0.0530133,
59.12,3.109154,0.05298704,
59.121,3.078629,0.05296003,
59.122,3.048104,0.05293224,
59.123,3.017579,0.05290369,
59.124,2.987054,0.05287429,
59.125,2.987054,0.05284393,
59.126,2.987054,0.05281146,
59.127,2.987054,0.05277929,
59.128,2.987054,0.05274654,
59.129,2.956529,0.05271312,
59.13,2.956529,0.05267913,
59.131,2.926004,0.05264457,
59.132,2.926004,0.05260924,
59.133,2.926004,0.05257325,
59.134,2.926004,0.0525363,
59.135,2.895479,0.05249716,
59.136,2.864954,0.05245858,
59.137,2.834429,0.05241953,
59.138,2.834429,0.05237991,
59.139,2.834429,0.05233981,
59.14,2.803904,0.05229914,
59.141,2.803904,0.05225789,
59.142,2.803904,0.05221598,
59.143,2.773379,0.05217339,
59.144,2.773379,0.05212862,
59.145,2.773379,0.05208498,
59.146,2.803904,0.05204116,
59.147,2.803904,0.05199705,
59.148,2.803904,0.05195275,
59.149,2.803904,0.05190835,
59.15,2.803904,0.05186367,
59.151,2.834429,0.0518187,
59.152,2.834429,0.05177335,
59.153,2.834429,0.05172609,
59.154,2.834429,0.05168045,
59.155,2.834429,0.05163491,
59.156,2.834429,0.05158946,
59.157,2.803904,0.05154401,
59.158,2.803904,0.05149857,
59.159,2.803904,0.05145312,
59.16,2.773379,0.05140739,
59.161,2.742854,0.05136137,
59.162,2.742854,0.05131344,
59.163,2.742854,0.05126723,
